Training Loss,Epoch,Step,Validation Loss,Mean Iou,Mean Accuracy,Overall Accuracy,Accuracy Background,Accuracy 11,Accuracy 12,Accuracy 13,Accuracy 14,Accuracy 15,Accuracy 16,Accuracy 17,Accuracy 18,Accuracy 21,Accuracy 22,Accuracy 23,Accuracy 24,Accuracy 25,Accuracy 26,Accuracy 27,Accuracy 28,Accuracy 31,Accuracy 32,Accuracy 33,Accuracy 34,Accuracy 35,Accuracy 36,Accuracy 37,Accuracy 38,Accuracy 41,Accuracy 42,Accuracy 43,Accuracy 44,Accuracy 45,Accuracy 46,Accuracy 47,Accuracy 48,Iou Background,Iou 11,Iou 12,Iou 13,Iou 14,Iou 15,Iou 16,Iou 17,Iou 18,Iou 21,Iou 22,Iou 23,Iou 24,Iou 25,Iou 26,Iou 27,Iou 28,Iou 31,Iou 32,Iou 33,Iou 34,Iou 35,Iou 36,Iou 37,Iou 38,Iou 41,Iou 42,Iou 43,Iou 44,Iou 45,Iou 46,Iou 47,Iou 48
0.0465,78,780,0.1574,0.7369,0.8213,0.8291,nan,0.8351,0.8481,0.8662,0.8399,0.821,0.9261,0.8788,0.7511,0.8876,0.8659,0.8343,0.7471,0.8311,0.8514,0.852,0.7376,0.7532,0.8092,0.8687,0.8439,0.7719,0.7718,0.8254,0.7229,0.7217,0.7521,0.846,0.8123,0.8303,0.8966,0.8571,0.8238,0,0.8189,0.8116,0.806,0.7959,0.7975,0.8742,0.8205,0.7198,0.8357,0.8136,0.7898,0.7078,0.7645,0.8182,0.7533,0.6787,0.6575,0.7309,0.7971,0.7619,0.703,0.6908,0.7315,0.6232,0.6156,0.6728,0.7805,0.7588,0.7594,0.8367,0.8209,0.7706
0.0472,80,800,0.1581,0.7398,0.824,0.8319,nan,0.8523,0.8478,0.8569,0.8497,0.8148,0.9077,0.909,0.7707,0.889,0.871,0.8457,0.7326,0.8413,0.8534,0.8573,0.7417,0.7604,0.7896,0.8915,0.8587,0.7877,0.7637,0.8249,0.705,0.7075,0.74,0.8388,0.8288,0.8473,0.9037,0.8491,0.8298,0,0.8314,0.8178,0.8091,0.807,0.7953,0.8692,0.8361,0.735,0.8355,0.8235,0.7971,0.6969,0.7691,0.8213,0.7577,0.6832,0.6606,0.7202,0.8031,0.7647,0.7041,0.6895,0.7314,0.6169,0.6006,0.6666,0.7819,0.7754,0.7739,0.8431,0.8235,0.7715
0.0382,82,820,0.1604,0.7403,0.8266,0.8343,nan,0.8591,0.8582,0.8789,0.8152,0.8205,0.9297,0.8853,0.7376,0.9018,0.8919,0.8719,0.7329,0.8391,0.8647,0.8502,0.7493,0.7837,0.8071,0.8941,0.8678,0.7693,0.7661,0.8292,0.7238,0.7455,0.7454,0.8597,0.813,0.8221,0.8851,0.8525,0.8015,0,0.8372,0.832,0.8087,0.7724,0.7967,0.8729,0.8232,0.7083,0.848,0.8377,0.8183,0.7049,0.7683,0.8204,0.7546,0.6896,0.6755,0.7341,0.8079,0.7696,0.7004,0.6932,0.7355,0.6306,0.6242,0.6749,0.7846,0.7499,0.7518,0.8345,0.8204,0.7512
0.0442,84,840,0.1602,0.739,0.8225,0.8302,nan,0.8469,0.8636,0.8656,0.8214,0.8119,0.916,0.8997,0.762,0.8728,0.8538,0.8407,0.72,0.8656,0.8623,0.8515,0.7622,0.7776,0.7777,0.8701,0.8395,0.7936,0.7658,0.826,0.7419,0.721,0.7438,0.8456,0.7999,0.8217,0.8964,0.8775,0.8064,0,0.8276,0.8309,0.8056,0.7837,0.796,0.8768,0.8374,0.7284,0.8277,0.8097,0.7978,0.6942,0.7736,0.82,0.7589,0.6973,0.6743,0.7147,0.7911,0.7617,0.7151,0.6981,0.7359,0.6366,0.6127,0.6653,0.7748,0.7463,0.7519,0.8417,0.8378,0.7623
0.045,86,860,0.1615,0.7351,0.8164,0.8236,nan,0.8602,0.8347,0.865,0.818,0.8123,0.9033,0.8974,0.7588,0.8922,0.8646,0.8608,0.7367,0.8179,0.8463,0.83,0.7655,0.7742,0.7765,0.8641,0.8422,0.7663,0.7427,0.8051,0.7022,0.7413,0.739,0.8461,0.8004,0.8476,0.8903,0.8514,0.7723,0,0.8395,0.8132,0.8107,0.7807,0.7913,0.8657,0.8293,0.7245,0.8426,0.8242,0.8086,0.7018,0.7566,0.8118,0.7474,0.6984,0.6687,0.7128,0.7916,0.7562,0.6928,0.6757,0.7181,0.6045,0.6275,0.6717,0.7856,0.7561,0.7628,0.8292,0.8143,0.7443
0.0372,88,880,0.1615,0.7345,0.8151,0.8228,nan,0.8501,0.8432,0.8601,0.837,0.7936,0.9159,0.8956,0.7217,0.8874,0.857,0.8584,0.703,0.8326,0.8443,0.8394,0.763,0.7447,0.8013,0.8724,0.8381,0.768,0.7537,0.8095,0.7261,0.7406,0.7492,0.8459,0.7901,0.824,0.8649,0.8693,0.7821,0,0.8303,0.82,0.8122,0.7979,0.7812,0.8714,0.8228,0.6926,0.8368,0.8187,0.8106,0.6809,0.7613,0.8081,0.7474,0.6928,0.6641,0.7333,0.795,0.7589,0.7026,0.6846,0.7242,0.6239,0.6259,0.6749,0.7725,0.7395,0.7564,0.8177,0.8299,0.7489
0.0374,90,900,0.1635,0.7259,0.8057,0.8148,nan,0.8591,0.84,0.858,0.7711,0.8184,0.9109,0.8792,0.72,0.8711,0.8568,0.8521,0.7213,0.8264,0.8453,0.8146,0.705,0.737,0.7954,0.8592,0.8366,0.765,0.7493,0.8102,0.6756,0.697,0.7472,0.8469,0.7833,0.8377,0.8697,0.8496,0.7751,0,0.8369,0.8173,0.7969,0.7483,0.7888,0.8639,0.8139,0.6916,0.8248,0.8155,0.8037,0.6921,0.7614,0.8073,0.7249,0.6526,0.6468,0.7254,0.7886,0.7558,0.7013,0.6802,0.7164,0.5877,0.6011,0.6717,0.7772,0.7363,0.7569,0.8189,0.8122,0.7389
0.0384,92,920,0.1662,0.7294,0.8119,0.8203,nan,0.8282,0.8271,0.8567,0.8378,0.7946,0.9053,0.8808,0.7401,0.8701,0.8589,0.8436,0.7213,0.8308,0.8552,0.8439,0.6911,0.7356,0.7934,0.8829,0.8517,0.7629,0.7474,0.8203,0.7053,0.7211,0.7537,0.8616,0.8006,0.8185,0.8969,0.8312,0.8113,0,0.8096,0.8029,0.805,0.7889,0.7801,0.8595,0.8151,0.7064,0.8158,0.8083,0.7966,0.6928,0.7656,0.8169,0.7399,0.6401,0.6575,0.7283,0.7965,0.756,0.6938,0.6824,0.7235,0.6078,0.6164,0.6815,0.7879,0.7477,0.7537,0.8352,0.8107,0.7488
0.0438,94,940,0.1668,0.7331,0.8169,0.8256,nan,0.8588,0.8564,0.8736,0.8234,0.8153,0.9055,0.8821,0.7226,0.8809,0.8822,0.8553,0.7457,0.8471,0.8471,0.8523,0.7147,0.7399,0.7916,0.8845,0.8448,0.7651,0.741,0.8162,0.6957,0.7298,0.7561,0.8573,0.8067,0.8185,0.8912,0.8541,0.7861,0,0.835,0.8294,0.8091,0.7862,0.792,0.8529,0.8077,0.6923,0.83,0.8309,0.8144,0.7136,0.7743,0.8169,0.7471,0.6616,0.6505,0.7217,0.7928,0.7604,0.7004,0.6766,0.7234,0.6043,0.6203,0.6742,0.7783,0.7471,0.752,0.8373,0.8209,0.7389
0.036,96,960,0.1674,0.7379,0.8217,0.8288,nan,0.8562,0.8515,0.8737,0.8185,0.8144,0.9195,0.8892,0.7625,0.892,0.8553,0.8526,0.7277,0.8312,0.8595,0.8382,0.7206,0.778,0.8313,0.883,0.8468,0.7676,0.7622,0.8153,0.7412,0.7288,0.7703,0.8552,0.8082,0.8225,0.8717,0.8556,0.7941,0,0.8298,0.8227,0.8102,0.7819,0.7973,0.8743,0.8283,0.7266,0.8337,0.8152,0.8044,0.6983,0.7631,0.8144,0.7376,0.6675,0.6867,0.7528,0.8016,0.7655,0.7023,0.6916,0.7313,0.6315,0.6264,0.6847,0.7747,0.7466,0.7519,0.8261,0.8239,0.7469
0.0336,98,980,0.1666,0.7321,0.8133,0.821,nan,0.8512,0.8465,0.8526,0.8285,0.8063,0.91,0.876,0.7369,0.8817,0.8537,0.8466,0.7324,0.8159,0.8514,0.8478,0.7347,0.7401,0.7874,0.8621,0.8562,0.7723,0.7436,0.8167,0.7125,0.7452,0.737,0.8484,0.791,0.8418,0.8693,0.8446,0.7867,0,0.8303,0.8223,0.8027,0.7934,0.7914,0.8688,0.8148,0.7023,0.832,0.8147,0.8049,0.6995,0.754,0.8128,0.7473,0.6752,0.6575,0.7213,0.7858,0.7661,0.6974,0.6766,0.7266,0.6161,0.628,0.6708,0.7772,0.743,0.754,0.8177,0.8117,0.7435
0.0402,100,1000,0.1703,0.7283,0.8083,0.8167,nan,0.8417,0.827,0.8618,0.806,0.799,0.9187,0.868,0.7391,0.8604,0.8639,0.8454,0.7151,0.8381,0.8506,0.824,0.7009,0.7356,0.7958,0.8773,0.833,0.7522,0.7655,0.8111,0.6956,0.7258,0.7469,0.8437,0.7864,0.83,0.878,0.8506,0.7773,0,0.819,0.8057,0.8047,0.7723,0.7831,0.8695,0.8148,0.7016,0.8134,0.8207,0.7982,0.6919,0.7658,0.8089,0.7312,0.6512,0.6577,0.7291,0.7901,0.7548,0.6958,0.6875,0.7229,0.604,0.6209,0.6727,0.7701,0.7373,0.7581,0.8238,0.818,0.7404
0.0347,102,1020,0.168,0.73,0.8095,0.8185,nan,0.8335,0.8526,0.8599,0.8135,0.8154,0.9168,0.8851,0.7336,0.8708,0.8607,0.8366,0.7145,0.8258,0.8478,0.836,0.7021,0.7329,0.7911,0.8575,0.8391,0.7793,0.7499,0.8254,0.7139,0.6868,0.7281,0.8375,0.7948,0.8374,0.8808,0.854,0.7907,0,0.8145,0.8159,0.8009,0.7799,0.7974,0.876,0.8206,0.699,0.8228,0.8132,0.7939,0.6895,0.7628,0.8095,0.7383,0.6521,0.6488,0.722,0.7855,0.769,0.7114,0.684,0.7336,0.6189,0.5949,0.6616,0.7669,0.7456,0.7633,0.8265,0.8223,0.7484
0.035,104,1040,0.1709,0.7282,0.8072,0.8153,nan,0.8385,0.8355,0.8511,0.8131,0.8032,0.9103,0.8779,0.7489,0.868,0.8531,0.8395,0.7471,0.8207,0.8457,0.8215,0.7057,0.7264,0.7784,0.8638,0.8373,0.7677,0.7568,0.8065,0.7143,0.7195,0.7515,0.8402,0.7681,0.8156,0.8734,0.8441,0.7879,0,0.8147,0.809,0.7994,0.7804,0.7863,0.8696,0.8223,0.7123,0.8177,0.8129,0.8034,0.7119,0.7568,0.8036,0.7286,0.6583,0.6486,0.7185,0.7887,0.7588,0.7049,0.6852,0.7208,0.6119,0.6146,0.6757,0.7664,0.7245,0.7467,0.8158,0.8122,0.7505
0.0335,106,1060,0.1689,0.73,0.8104,0.8182,nan,0.8563,0.8375,0.8646,0.8213,0.8099,0.9055,0.8828,0.7513,0.8787,0.8536,0.8481,0.7179,0.8123,0.8572,0.7962,0.7255,0.7425,0.7871,0.8624,0.8377,0.7535,0.7514,0.805,0.7108,0.7213,0.7394,0.8308,0.7975,0.8429,0.8777,0.8517,0.8019,0,0.8308,0.8139,0.8088,0.7867,0.7939,0.8679,0.821,0.7128,0.8253,0.8151,0.799,0.689,0.7583,0.7943,0.7122,0.6754,0.6602,0.7267,0.7851,0.7517,0.6909,0.6781,0.7182,0.6179,0.6152,0.665,0.7644,0.7454,0.763,0.826,0.8216,0.7548
0.029,108,1080,0.17,0.7333,0.8136,0.8212,nan,0.8593,0.8467,0.8682,0.8181,0.8034,0.9091,0.877,0.7556,0.8722,0.8573,0.8582,0.731,0.8322,0.8397,0.8298,0.7147,0.741,0.8034,0.8671,0.8498,0.7648,0.7557,0.8068,0.7033,0.7165,0.7594,0.8566,0.8019,0.828,0.8694,0.8471,0.7909,0,0.8341,0.8231,0.8103,0.7854,0.7882,0.8689,0.8238,0.7129,0.8249,0.8184,0.8094,0.7041,0.7673,0.8042,0.7326,0.6637,0.6579,0.735,0.796,0.7669,0.7013,0.6828,0.7193,0.6081,0.6149,0.678,0.7786,0.7489,0.7559,0.8205,0.8165,0.7464
0.0417,110,1100,0.1772,0.7194,0.7972,0.8058,nan,0.828,0.8238,0.8445,0.7908,0.8269,0.8967,0.86,0.6878,0.8638,0.863,0.8371,0.704,0.8095,0.8234,0.8274,0.6681,0.727,0.7865,0.8624,0.822,0.7584,0.7468,0.7957,0.727,0.7154,0.7303,0.829,0.7464,0.8262,0.8746,0.8342,0.7745,0,0.8075,0.7958,0.7914,0.765,0.8027,0.8522,0.7956,0.6631,0.8181,0.8149,0.7969,0.684,0.7509,0.7863,0.717,0.6226,0.6511,0.7267,0.7909,0.757,0.7006,0.6756,0.7117,0.6107,0.6136,0.658,0.7549,0.71,0.7532,0.8196,0.8043,0.7387
0.0374,112,1120,0.1725,0.7319,0.8114,0.8198,nan,0.8322,0.8258,0.8711,0.8108,0.8157,0.9173,0.8848,0.772,0.8807,0.8693,0.8443,0.711,0.8353,0.8411,0.8234,0.7056,0.7309,0.7907,0.8726,0.828,0.7818,0.7314,0.823,0.6778,0.7216,0.7462,0.8578,0.7922,0.8357,0.8744,0.8664,0.7935,0,0.8132,0.8054,0.801,0.779,0.802,0.8777,0.8298,0.7268,0.8316,0.8168,0.7957,0.6886,0.7706,0.8004,0.7338,0.6568,0.6538,0.729,0.7916,0.7569,0.7091,0.6688,0.7263,0.5925,0.6175,0.676,0.7787,0.7433,0.7608,0.8271,0.8359,0.7577
0.0297,114,1140,0.1727,0.7286,0.8091,0.8163,nan,0.848,0.8568,0.8539,0.8107,0.8011,0.9095,0.8637,0.7787,0.8682,0.8601,0.8313,0.7293,0.8333,0.8472,0.8031,0.6997,0.7535,0.7978,0.8637,0.8442,0.7672,0.7536,0.7994,0.6785,0.7323,0.7394,0.8431,0.7923,0.8053,0.8831,0.8481,0.7952,0,0.8277,0.8237,0.8014,0.7776,0.785,0.8648,0.8196,0.727,0.8211,0.8147,0.7931,0.7001,0.7679,0.7956,0.7174,0.6506,0.6663,0.7323,0.789,0.7627,0.7017,0.6809,0.7092,0.5732,0.6222,0.6654,0.767,0.741,0.7481,0.8236,0.8202,0.7549
0.0294,116,1160,0.1741,0.7289,0.8097,0.8181,nan,0.8451,0.8299,0.8669,0.8066,0.8102,0.9189,0.8663,0.7263,0.8787,0.8623,0.8572,0.7096,0.8258,0.8393,0.8254,0.7209,0.7396,0.7924,0.8813,0.8413,0.7707,0.7449,0.8108,0.7085,0.7097,0.7435,0.8482,0.7987,0.8178,0.8761,0.8525,0.7865,0,0.8209,0.8086,0.8036,0.773,0.791,0.8641,0.8041,0.6909,0.8297,0.8162,0.8059,0.6831,0.7628,0.7974,0.7325,0.67,0.6527,0.7279,0.802,0.7636,0.7085,0.6812,0.724,0.6049,0.6047,0.6683,0.7679,0.7448,0.7561,0.8237,0.82,0.7508
0.0359,118,1180,0.1696,0.7373,0.8183,0.8263,nan,0.8415,0.8324,0.8779,0.8223,0.8145,0.9132,0.8831,0.7632,0.8907,0.8551,0.8537,0.7395,0.8336,0.8347,0.8538,0.7489,0.7662,0.7845,0.869,0.8365,0.775,0.7394,0.8282,0.7179,0.7087,0.7534,0.8516,0.8153,0.8305,0.8821,0.8731,0.7971,0,0.8213,0.8147,0.814,0.79,0.7971,0.8686,0.8203,0.7237,0.8391,0.8161,0.807,0.7056,0.7721,0.8014,0.7469,0.693,0.6718,0.725,0.79,0.7569,0.704,0.6781,0.7344,0.623,0.6113,0.674,0.7783,0.7598,0.7589,0.8341,0.839,0.762
0.0313,120,1200,0.1764,0.7273,0.8058,0.8135,nan,0.8369,0.8273,0.8485,0.8146,0.7969,0.908,0.8679,0.7526,0.8618,0.8506,0.8432,0.7363,0.8113,0.8472,0.8241,0.7444,0.7278,0.7724,0.8587,0.8412,0.7388,0.74,0.8219,0.7169,0.7267,0.7404,0.8295,0.7807,0.8083,0.8742,0.8474,0.789,0,0.8122,0.8035,0.7992,0.7815,0.7815,0.8618,0.8129,0.713,0.8159,0.8134,0.8015,0.7036,0.7602,0.8034,0.7366,0.6886,0.646,0.7135,0.7851,0.7406,0.6792,0.6769,0.7315,0.6211,0.6179,0.6664,0.7607,0.7361,0.7435,0.8216,0.8177,0.7533
0.0329,122,1220,0.1771,0.7252,0.8059,0.8141,nan,0.8437,0.8362,0.854,0.7926,0.8117,0.9154,0.8612,0.7062,0.8569,0.8485,0.842,0.7121,0.8323,0.8448,0.7997,0.7292,0.7499,0.7871,0.8639,0.8462,0.7443,0.7533,0.8169,0.7038,0.7194,0.7506,0.8452,0.7877,0.817,0.8761,0.8577,0.784,0,0.8204,0.8071,0.7921,0.7643,0.7929,0.8554,0.7942,0.6749,0.8127,0.8085,0.8011,0.6862,0.7614,0.7949,0.7177,0.6742,0.6616,0.7244,0.7864,0.757,0.6883,0.6835,0.7267,0.6077,0.6149,0.6708,0.7716,0.7383,0.7481,0.8252,0.8227,0.7478
0.0331,124,1240,0.1752,0.7266,0.8066,0.8152,nan,0.8327,0.8351,0.852,0.83,0.8021,0.9078,0.8735,0.7416,0.8724,0.8526,0.8503,0.7145,0.8238,0.8628,0.8091,0.6907,0.7477,0.7998,0.8757,0.8473,0.7857,0.7623,0.7796,0.6566,0.6925,0.7452,0.8477,0.784,0.8092,0.8763,0.8595,0.7925,0,0.8133,0.8089,0.803,0.7938,0.7893,0.8603,0.8155,0.7067,0.8229,0.8124,0.8022,0.6871,0.7651,0.8067,0.7168,0.6469,0.6612,0.7356,0.8006,0.7659,0.7079,0.6698,0.6958,0.5808,0.5977,0.6661,0.7631,0.731,0.743,0.8245,0.8265,0.7578
0.0361,126,1260,0.176,0.7281,0.8066,0.8149,nan,0.8466,0.8424,0.8478,0.8209,0.8079,0.9042,0.8718,0.7475,0.8674,0.8598,0.8431,0.718,0.8312,0.8591,0.821,0.7164,0.7286,0.7876,0.862,0.8371,0.7558,0.7635,0.8017,0.6584,0.7283,0.7397,0.8309,0.7813,0.8198,0.8722,0.8533,0.7845,0,0.8253,0.8165,0.7986,0.7862,0.7933,0.8552,0.8134,0.7104,0.8199,0.8164,0.8013,0.6914,0.7703,0.8109,0.7329,0.6689,0.654,0.7295,0.7917,0.7571,0.6948,0.6801,0.714,0.5799,0.6173,0.6632,0.7611,0.7343,0.7483,0.8242,0.8219,0.7448
0.0312,128,1280,0.1742,0.7341,0.8152,0.8232,nan,0.8516,0.8397,0.8645,0.8195,0.822,0.9142,0.8781,0.7514,0.8924,0.8513,0.8453,0.726,0.8381,0.8475,0.8443,0.7235,0.7607,0.7856,0.8649,0.8366,0.7681,0.7626,0.8138,0.7074,0.7219,0.7571,0.8486,0.7923,0.8338,0.8693,0.8587,0.797,0,0.8313,0.8132,0.8057,0.7875,0.8008,0.8622,0.8182,0.7143,0.8354,0.8092,0.7986,0.6982,0.7714,0.8099,0.747,0.6739,0.6682,0.727,0.7921,0.7614,0.7032,0.6868,0.7228,0.6151,0.6166,0.675,0.774,0.745,0.7576,0.8214,0.8268,0.7545
0.0352,130,1300,0.1762,0.7337,0.8138,0.8214,nan,0.8465,0.8373,0.8601,0.8223,0.8076,0.9237,0.8686,0.7449,0.8788,0.8631,0.8411,0.7332,0.8329,0.8459,0.844,0.7533,0.738,0.8051,0.8671,0.8474,0.768,0.7653,0.8178,0.71,0.7248,0.7397,0.838,0.7731,0.829,0.8703,0.8504,0.7949,0,0.8242,0.8128,0.8075,0.7872,0.7894,0.8733,0.8143,0.7046,0.8274,0.8169,0.8003,0.7033,0.7728,0.814,0.7518,0.6947,0.655,0.7367,0.7973,0.7702,0.7038,0.6868,0.729,0.6183,0.6147,0.6654,0.7641,0.73,0.7536,0.8197,0.8219,0.7516
0.0308,132,1320,0.1767,0.7336,0.8145,0.8229,nan,0.8483,0.8388,0.8638,0.8193,0.8139,0.9136,0.883,0.743,0.8761,0.8595,0.8565,0.7363,0.8355,0.8456,0.841,0.7363,0.7327,0.7974,0.8752,0.8396,0.764,0.7673,0.8122,0.6917,0.7051,0.7496,0.8453,0.7955,0.8435,0.8762,0.854,0.8046,0,0.8244,0.8181,0.8043,0.785,0.7983,0.8644,0.819,0.7058,0.8264,0.8159,0.8095,0.7073,0.777,0.8103,0.745,0.6838,0.6462,0.7324,0.8007,0.7607,0.6988,0.6883,0.721,0.6047,0.604,0.67,0.7729,0.7485,0.7593,0.8249,0.8245,0.758
0.035,134,1340,0.1803,0.7278,0.8081,0.8162,nan,0.8446,0.8499,0.8584,0.8092,0.7799,0.9063,0.8774,0.727,0.8824,0.8659,0.8517,0.7241,0.8169,0.8429,0.8405,0.7277,0.7534,0.8073,0.8616,0.8423,0.7534,0.7434,0.8055,0.6901,0.7149,0.7441,0.8304,0.782,0.8303,0.8671,0.8533,0.7749,0,0.8253,0.8253,0.8002,0.7727,0.7689,0.8543,0.8127,0.6947,0.8321,0.817,0.7998,0.6925,0.7684,0.808,0.7446,0.675,0.659,0.7378,0.7909,0.7509,0.6843,0.6724,0.7162,0.6003,0.6115,0.6695,0.7651,0.7366,0.7534,0.8191,0.8223,0.7365
0.0277,136,1360,0.1799,0.7223,0.8025,0.8122,nan,0.8432,0.8488,0.8584,0.8239,0.8034,0.9104,0.8691,0.7429,0.8737,0.8555,0.8366,0.7177,0.8265,0.857,0.8051,0.6303,0.738,0.7781,0.8611,0.8211,0.7401,0.7377,0.8163,0.6755,0.7193,0.7427,0.8413,0.7722,0.8081,0.8594,0.8588,0.8084,0,0.8236,0.8221,0.8016,0.7879,0.7886,0.8592,0.8099,0.7052,0.8223,0.8106,0.7946,0.6935,0.7682,0.8002,0.6989,0.5919,0.6496,0.7201,0.783,0.7299,0.678,0.6707,0.7208,0.5938,0.6121,0.667,0.7627,0.7224,0.7397,0.8182,0.83,0.759
0.0307,138,1380,0.1802,0.7245,0.8013,0.8095,nan,0.8385,0.8174,0.8352,0.8052,0.8034,0.8987,0.8775,0.7357,0.8731,0.8513,0.8348,0.7135,0.8138,0.8448,0.818,0.7142,0.7243,0.7833,0.858,0.8321,0.7576,0.7388,0.7974,0.7235,0.6939,0.7228,0.8385,0.7783,0.823,0.8595,0.8492,0.7873,0,0.8155,0.795,0.7886,0.7774,0.7849,0.8558,0.8145,0.7004,0.8249,0.8121,0.7952,0.6879,0.7599,0.8019,0.725,0.6596,0.6484,0.7282,0.7865,0.7487,0.6937,0.6718,0.7151,0.6187,0.6004,0.6595,0.7698,0.7383,0.7514,0.8129,0.8199,0.7473
0.0283,140,1400,0.1792,0.7326,0.8125,0.8197,nan,0.8466,0.8472,0.8611,0.8056,0.8019,0.913,0.8852,0.756,0.8805,0.8542,0.8499,0.7225,0.8237,0.8454,0.8324,0.7328,0.7552,0.7947,0.8646,0.8414,0.7641,0.7516,0.814,0.7148,0.7387,0.7463,0.8488,0.7753,0.8213,0.8729,0.8411,0.7963,0,0.8251,0.8231,0.8012,0.7725,0.7882,0.8639,0.8282,0.7158,0.8309,0.8158,0.8031,0.6937,0.7658,0.8063,0.7413,0.6777,0.6618,0.7335,0.7961,0.7604,0.7012,0.6825,0.7285,0.6238,0.6253,0.6738,0.7682,0.7284,0.749,0.8214,0.8157,0.753
0.032,142,1420,0.1782,0.7359,0.8148,0.8227,nan,0.8447,0.8586,0.8601,0.8306,0.8056,0.9163,0.8769,0.7472,0.8807,0.8624,0.8474,0.7149,0.8277,0.8526,0.8325,0.728,0.7362,0.798,0.8824,0.8403,0.7766,0.7512,0.822,0.7046,0.7182,0.7597,0.8495,0.7981,0.8356,0.8716,0.8525,0.7917,0,0.8253,0.8349,0.8092,0.7952,0.7917,0.8619,0.8187,0.709,0.8314,0.8187,0.7992,0.6885,0.7709,0.8074,0.7391,0.6736,0.6597,0.7402,0.8074,0.7667,0.7118,0.6832,0.7323,0.6161,0.617,0.6827,0.7782,0.7522,0.7633,0.8251,0.8233,0.7493
0.029,144,1440,0.178,0.7373,0.8182,0.8264,nan,0.857,0.8497,0.8668,0.8319,0.8065,0.9194,0.8787,0.7312,0.8838,0.8607,0.8491,0.7423,0.8263,0.8604,0.8412,0.7344,0.7569,0.8025,0.8743,0.8491,0.7783,0.7626,0.825,0.7136,0.7273,0.7537,0.8432,0.7922,0.8298,0.8805,0.8544,0.8006,0,0.8327,0.8304,0.8108,0.7923,0.7925,0.8637,0.8148,0.6967,0.8307,0.82,0.8057,0.7088,0.7713,0.8156,0.747,0.68,0.6636,0.7417,0.8046,0.7709,0.7133,0.6905,0.7341,0.6251,0.6158,0.6745,0.7686,0.7426,0.7584,0.8307,0.827,0.7567
0.0289,146,1460,0.1787,0.7346,0.8149,0.8229,nan,0.8505,0.85,0.8619,0.8067,0.8082,0.9105,0.8871,0.7411,0.8737,0.8626,0.8506,0.7233,0.8163,0.8523,0.8352,0.7293,0.7532,0.8141,0.8757,0.8426,0.7655,0.7607,0.8212,0.7049,0.7267,0.7522,0.8479,0.8038,0.8267,0.8764,0.8507,0.796,0,0.8249,0.8258,0.804,0.777,0.7921,0.8604,0.8229,0.705,0.8246,0.8199,0.8038,0.6938,0.7631,0.81,0.7388,0.673,0.669,0.7482,0.8026,0.7619,0.702,0.6885,0.7293,0.6158,0.6216,0.6773,0.7779,0.7508,0.7559,0.8265,0.8222,0.7546
0.0281,148,1480,0.1775,0.7392,0.8203,0.828,nan,0.8508,0.8442,0.8667,0.8302,0.8155,0.9178,0.8824,0.7545,0.8821,0.856,0.8632,0.741,0.8384,0.8568,0.849,0.7439,0.7587,0.8097,0.8712,0.8525,0.7617,0.7538,0.8246,0.7197,0.7421,0.7511,0.8444,0.8008,0.824,0.8784,0.8653,0.7978,0,0.8263,0.8225,0.8069,0.7944,0.799,0.8648,0.8203,0.7155,0.8299,0.8172,0.8164,0.7091,0.7799,0.8189,0.7499,0.6866,0.6691,0.7456,0.8035,0.7649,0.6946,0.6838,0.734,0.6297,0.6294,0.6793,0.7739,0.7465,0.757,0.8306,0.8329,0.7607
0.0332,150,1500,0.1792,0.7336,0.8136,0.8217,nan,0.8568,0.8505,0.8623,0.8151,0.8078,0.9123,0.8824,0.7335,0.8848,0.8571,0.8517,0.7219,0.8249,0.8522,0.8308,0.7083,0.761,0.7893,0.8641,0.835,0.7722,0.7547,0.8089,0.7215,0.7347,0.7638,0.8456,0.7854,0.836,0.872,0.8656,0.7724,0,0.833,0.824,0.8081,0.781,0.7891,0.8612,0.8186,0.6966,0.8358,0.8138,0.8052,0.6956,0.7701,0.8101,0.7335,0.6582,0.669,0.7304,0.7977,0.7621,0.705,0.6831,0.7228,0.6235,0.6289,0.6834,0.7737,0.7388,0.7567,0.8245,0.8295,0.7468
0.0291,152,1520,0.1799,0.7337,0.8141,0.8214,nan,0.8494,0.845,0.8653,0.8177,0.8065,0.9123,0.8752,0.7344,0.8787,0.8574,0.8536,0.7175,0.8308,0.8506,0.8196,0.7452,0.7553,0.8132,0.877,0.8531,0.7556,0.7567,0.8006,0.7159,0.7221,0.7552,0.8497,0.7921,0.817,0.8732,0.857,0.7982,0,0.8265,0.8223,0.8096,0.7854,0.7897,0.8597,0.8126,0.6968,0.8281,0.8128,0.8013,0.6905,0.7758,0.8091,0.7349,0.6885,0.6691,0.748,0.8043,0.7622,0.6921,0.6835,0.7156,0.613,0.6203,0.6812,0.777,0.7415,0.7522,0.8277,0.8274,0.7545
